Sentences,Broken Sentences,OpinionTerm1,Predicted Opinion Term 1,Aspect Category1,AspectPolarity1 ,OpinionTerm2,Predicted Opinion Term 2,Aspect Category2,Aspectpolarity2
Nice and under budget charges for providing services.,"['Nice ', ' under budget charges for providing services']",nice under budget,,cost,positive,,under budget,,
not providing Ac service at 110084,"['not providing Ac service ', ' 110084']",ac service,ac service,Company_Service,negative ,,,,
excellent service great app,['excellent service great app'],excellent service,excellent service,Company_Service,positive,great app,,App_Utility,positive
too good experience,['too good experience'],good experience,good experience,Company_Service,positive,,,,
Very easy and good experience,"['Very easy ', ' good experience']",easy,very easy,App_UI,positive,good experience,good experience,Company_Service,positive
very unprofessional workers,['very unprofessional workers'],unprofessional workers,unprofessional workers,service_person_attitude,negative ,,,,
awesome quality service,['awesome quality service'],awesome quality,awesome quality,service_quality,positive,,,,
nice service,['nice service'],nice service,nice service,Company_Service,positive,,,,
They are excellent,['They are excellent'],excellent,are excellent,Company_Service,positive,,,,
best app ever,['best app ever'],best app,best app,App_Utility,positive,,,,
third class company,['third class company'],third class,third class,Company_Service,negative ,,,,
very useful app,['very useful app'],useful app,useful app,App_Utility,positive,,,,
Five  star,['Five star'],five star,five star,App_Utility,positive,,,,
amazing service and tracking system. thanks,"['amazing service and tracking system', ' thanks']",amazing service,amazing service,Company_Service,positive,tracking system,,App_Functionality ,positive
customer friendly trouble shooter.,['customer friendly trouble shooter'],customer friendly,friendly trouble,App_UI,positive,,,,
useful,['useful'],useful,,Company_Service,positive,,,,
Very nice app,['Very nice app'],nice app,nice app,App_Utility,positive,,,,
a bit pricey,['a bit pricey'],pricey,a bit,cost,negative ,,,,
very good service and professional,"['very good service ', ' professional']",good service,good service,Company_Service,positive,professional,,service_person_attitude,positive
so far so good ,['so far so good'],good,so good,Company_Service,positive,,,,
not giving service at Patna,"['not giving service ', ' Patna']",giving service,giving service,Company_Service,negative ,,,,
app is easy and simple…,"['app is easy ', ' simple…']",app easy,is easy,App_UI,positive,simple,,App_Functionality,positive
I availed the massage service. Fantastic experience!!,"['I availed the massage service', ' Fantastic experience!!']",massage service,the massage,Company_Service,positive,fantastic experience,fantastic experience,service_quality,positive
best employees they have,['best employees they have'],best employees,best employees,service_person_attitude ,positive,,,,
good Service. value for money,"['good Service', ' value for money']",good service,good service,Company_Service,positive,value money,for money,service_quality,positive
good experience,['good experience'],good experience,good experience,Company_Service,positive,,,,
Good Service,['Good Service'],good service,good service,Company_Service,positive,,,,
Excellent service with full professionalism,"['Excellent service ', ' full professionalism']",excellent service,excellent service,Company_Service,positive,full professionalism,full professionalism,service_person_attitude,positive
Excellent services for AC and water filter,"['Excellent services for AC ', ' water filter']",excellent services,for ac,Company_Service,positive,,water filter,,
pricing is not clear for all models,"['pricing is not clear ', ' all models']",pricing,not clear,cost,negative ,,all models,,
my experience with urban clap is more than satisfactory..,"['my experience ', ' urban clap is more than satisfactory']",more satisfactory,,Company_Service,positive,,urban clap,,
amazing experience,['amazing experience'],amazing experience,amazing experience,Company_Service,positive,,,,
satisfied,['satisfied'],satisfied,,Company_Service,negative ,,,,
good app,['good app'],good app,good app,App_Utility,negative ,,,,
amazing service..,['amazing service'],amazing service,amazing service,Company_Service,negative ,,,,
great service,['great service'],great service,great service,Company_Service,negative ,,,,
nice job,['nice job'],nice job,nice job,service_quality,positive,,,,
Punctual and professional services for AC service,"['Punctual ', ' professional services for AC service']",punctual,,service_person_attitude,positive,ac service,ac service,Company_Service,positive
only app that gives satisfactory services.,"['only app that gives satisfactory services', '']",satisfactory services,satisfactory services,Company_Service,positive,,,,
Good experience,['Good experience'],good experience,good experience,Company_Service,positive,,,,
Excellent Service,['Excellent Service'],excellent service,excellent service,Company_Service,positive,,,,
quick service and excellent job,"['quick service ', ' excellent job']",quick service,quick service,Company_Service,positive,excellent job,excellent job,service_quality,positive
good service,['good service'],good service,good service,Company_Service,positive,,,,
nice job,['nice job'],nice job,nice job,service_quality,positive,,,,
Very efficient,['Very efficient'],efficient,very efficient,Company_Service,positive,,,,
service are not available in NAGPUR City,"['service are not available ', ' NAGPUR City']",not available,not available,Company_Service,negative ,,nagpur city,,
Very useful,['Very useful'],useful,very useful,Company_Service,positive,,,,
so expensive all products,['so expensive all products'],expensive,all products,cost,negative ,,,,
extremely bad after sales service,"['extremely bad after sales', 'service']",sales service,after sales,Company_Service,negative ,,,,
